,few_shots,rag,answers
85,Entailment,Entailment,Entailment
86,Entailment,Entailment,Entailment
87,Entailment,Entailment,Entailment
88,Entailment,Entailment,Entailment
89,Contradiction,Contradiction,Contradiction
90,Entailment,Entailment,Entailment
91,Entailment,Entailment,Entailment
92,Entailment,Entailment,Entailment
93,Contradiction,Contradiction,Contradiction
94,Contradiction,Contradiction,Contradiction
95,Entailment,Entailment,Entailment
96,Entailment,Entailment,Entailment
97,Entailment,Entailment,Entailment
98,Entailment,Entailment,Entailment
99,Entailment,Entailment,Entailment
100,Contradiction,Contradiction,Contradiction
101,Contradiction,Contradiction,Contradiction
102,Contradiction,Contradicted,Contradiction
103,Entailment,Entailment,Entailment
104,Entailment,Entailment,Entailment
105,Entailment,Entailment,Entailment
106,Entailment,Entailment,Entailment
107,Entailment,Entailment,Entailment
108,Entailment,Contradiction,Entailment
109,Entailment,Entailment,Entailment
110,Entailment,Entailment,Entailment
111,Entailment,Entailment,Entailment
112,Entailment,Entailment,Entailment
113,Entailment,Entailment,Entailment
114,Entailment,Entailment,Entailment
115,Entailment,Entailment,Entailment
116,Contradicted,Entailment,Entailment
117,Entailment,Entailment,Entailment
118,Entailment,Entailment,Entailment
119,Entailment,Entailment,Entailment
120,Entailment,Entailment,Entailment
121,Entailment,Entailment,Entailment
122,Entailment,Entailment,Entailment
123,Entailment,Entailment,Entailment
124,Entailment,Entailment,Entailment
125,Entailment,Entailment,Entailment
126,Entailment,Entailment,Entailment
127,Entailment,Entailment,Entailment
128,Entailment,Entailment,Entailment
129,Contradicted,Contradiction,Entailment
130,Entailment,Entailment,Entailment
131,Entailment,Entailment,Entailment
132,Entailment,Entailment,Entailment
133,Entailment,Entailment,Entailment
134,Entailment,Entailment,Entailment
135,Entailment,Entailment,Entailment
136,Entailment,Entailment,Entailment
137,Contradiction,Contradicted,Contradiction
138,Contradiction,Contradicted,Contradiction
139,Entailment,Entailment,Entailment
140,Entailment,Entailment,Entailment
141,Entailment,Entailment,Entailment
142,Entailment,Entailment,Entailment
143,Entailment,Entailment,Entailment
144,Entailment,Entailment,Entailment
145,Entailment,Entailment,Entailment
146,Entailment,Entailment,Entailment
147,Entailment,Entailment,Entailment
148,Entailment,Entailment,Entailment
149,Entailment,Contradicted,Entailment
150,Entailment,Entailment,Entailment
151,Contradiction,Contradicted,Contradiction
152,Contradicted,Contradiction,Contradiction
153,Contradiction,Contradiction,Contradiction
154,Entailment,Entailment,Entailment
155,Entailment,Contradicted,Entailment
156,Entailment,Entailment,Entailment
157,Entailment,Entailment,Entailment
158,Entailment,Entailment,Entailment
159,Entailment,Entailment,Entailment
160,Entailment,Entailment,Entailment
161,Entailment,Entailment,Entailment
162,Entailment,Entailment,Entailment
163,Contradicted,Entailment,Entailment
164,Contradicted,Contradicted,Entailment
165,Entailment,Entailment,Entailment
166,Entailment,Entailment,Entailment
167,Entailment,Entailment,Entailment
168,Entailment,Entailment,Entailment
169,Entailment,Entailment,Entailment
170,Entailment,Entailment,Entailment
171,Entailment,Entailment,Entailment
172,Entailment,Entailment,Entailment
173,Entailment,Entailment,Entailment
174,Entailment,Entailment,Entailment
175,Entailment,Entailment,Entailment
176,Entailment,Entailment,Entailment
177,Entailment,Entailment,Entailment
178,Entailment,Entailment,Entailment
179,Entailment,Entailment,Entailment
180,Entailment,Entailment,Entailment
181,Entailment,Entailment,Entailment
182,Entailment,Entailment,Entailment
183,Entailment,Entailment,Entailment
184,Entailment,Entailment,Entailment
185,Entailment,Entailment,Entailment
186,Entailment,Entailment,Entailment
187,Contradiction,Contradiction,Contradiction
188,Contradiction,Contradicted,Contradiction
189,Contradiction,Contradiction,Contradiction
190,Contradiction,Contradiction,Contradiction
191,Contradiction,Contradiction,Contradiction
192,Entailment,Entailment,Entailment
193,Entailment,Entailment,Entailment
194,Entailment,Entailment,Entailment
195,Entailment,Entailment,Entailment
196,Entailment,Entailment,Entailment
197,Entailment,Entailment,Entailment
198,Entailment,Entailment,Entailment
199,Contradicted,Entailment,Entailment
